City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,lazaro cardenas,20.225,-97.5931,22.78,85,5,1.51,MX,1686134189
114,enewetak,11.3409,162.3245,28.19,80,92,7.96,MH,1686134189
115,port lincoln,-34.7212,135.8592,13.72,70,20,10.18,AU,1686134190
116,yambio,4.5681,28.3977,32.76,41,48,2.07,SS,1686134191
117,alotau,-10.3061,150.4464,24.78,94,100,3.09,PG,1686134191
118,suomussalmi,64.8848,28.9146,14.82,31,37,1.57,FI,1686134192
119,saipan,15.191,145.7467,26.11,100,40,5.14,MP,1686134192
120,maintirano,-18.0609,44.024,28.92,49,0,4.39,MG,1686134193
121,mahina,-17.558,-149.4694,19.55,73,0,1.54,PF,1686134193
122,olyokminsk,60.373,120.4388,17.93,38,64,2.12,RU,1686134194
123,hell-ville,-13.4054,48.2743,26.8,68,1,2.38,MG,1686134195
124,nova zagora,42.4935,26.009,24.13,42,90,3.15,BG,1686134195
125,luderitz,-26.65,15.1573,16.9,61,5,5.67,NA,1686134196
126,maxixe,-11.0795,-42.1315,22.2,65,12,6.46,BR,1686134197
127,puebla,19.0436,-98.1981,16.73,70,95,0.28,MX,1686133743
128,yarmouth,52.6072,1.7315,16.39,78,0,5.96,GB,1686134198
129,avarua,-21.2075,-159.7708,22.99,73,75,3.6,CK,1686134198
130,port augusta,-32.4909,137.764,17.33,35,20,7.99,AU,1686134199
131,kataragama,6.4136,81.3324,32.97,53,30,9.18,LK,1686134199
132,ola,35.0323,-93.2232,18.97,94,9,1.18,US,1686134200
133,alghero,40.5597,8.3195,26.01,53,20,2.06,IT,1686133645
134,hayma',15.4662,44.2266,27.27,17,93,6.59,YE,1686134201
135,mayya,61.7422,130.2812,21.62,61,90,1.87,RU,1686134201
136,alpena,45.0617,-83.4328,13.14,76,0,3.09,US,1686134202
137,trinidad,10.443,-61.2613,24.66,93,20,0.0,TT,1686134203
138,greenville,34.8514,-82.3985,16.86,93,0,0.0,US,1686134058
139,wailua homesteads,22.0581,-159.3691,22.59,84,40,2.57,US,1686134204
140,acapulco de juarez,16.868,-99.894,25.71,78,40,1.03,MX,1686134204
141,yaritagua,10.0801,-69.1202,22.57,96,87,2.15,VE,1686134205
142,rongelap,11.1629,166.8943,27.86,85,100,8.07,MH,1686134205
143,larreynaga,12.144,-86.2452,25.9,89,40,0.0,NI,1686134206
144,san luis,-33.302,-66.337,12.68,80,100,1.94,AR,1686134207
145,tan-tan,28.4376,-11.0987,23.95,88,75,3.6,MA,1686134207
146,usinsk,65.9957,57.5571,7.78,52,100,6.4,RU,1686134208
147,ambodifotatra,-19.1786,48.8769,24.38,86,57,2.47,MG,1686134208
148,rio grande,-53.7857,-67.7016,0.02,93,0,4.63,AR,1686134209
149,conde,-11.813,-37.6139,24.69,87,44,1.42,BR,1686134209
150,skelleftea,64.752,20.9593,18.34,40,0,4.12,SE,1686134210
151,nykvarn,59.2,17.4167,19.49,38,0,3.77,SE,1686134211
152,egilsstadir,65.262,-14.4035,9.94,66,75,2.57,IS,1686134211
153,chivhu,-19.0187,30.8969,26.64,17,0,1.33,ZW,1686134212
154,puerto lempira,15.2656,-83.7741,24.22,95,92,1.96,HN,1686134212
155,margaret river,-33.9532,115.0769,14.12,74,97,5.18,AU,1686134213
156,mana,43.0818,0.9505,28.87,48,100,2.39,FR,1686134213
157,hadibu,12.6512,54.0237,30.47,73,80,6.2,YE,1686134214
158,igarka,67.4566,86.5308,17.91,45,100,5.85,RU,1686134214
159,olonkinbyen,70.9224,-8.716,0.34,92,86,4.2,SJ,1686134215
160,roma,41.8933,12.4829,27.95,50,0,2.57,IT,1686134215
161,jeremoabo,-10.0755,-38.3476,21.5,95,100,3.51,BR,1686134216
162,fuvahmulah,-0.2948,73.4241,29.01,70,50,2.97,MV,1686134216
163,kolonia,50.9384,6.96,23.86,63,75,3.09,DE,1686134217
164,villa sandino,11.9469,-85.9497,26.13,88,92,0.95,NI,1686134217
165,poltava,49.5897,34.5508,23.5,45,100,2.2,UA,1686134218
166,san francisco de la paz,14.8773,-86.1812,21.23,95,100,0.51,HN,1686134218
167,mar del plata,-37.9977,-57.5483,8.35,100,100,2.57,AR,1686134219
168,la passe,46.2035,-1.4601,27.23,70,54,3.45,FR,1686134219
169,selkirk,50.147,-96.8802,20.61,95,60,4.1,CA,1686134220
170,kaman,36.4636,50.138,27.6,46,80,4.05,IR,1686134220
171,korla,41.7239,86.1735,34.88,8,49,0.54,CN,1686134221
172,bilibino,68.055,166.4449,12.11,50,16,2.64,RU,1686134222
173,nagqu,31.4786,92.0498,13.15,33,83,2.79,CN,1686134223
174,coari,-4.0886,-63.1431,22.72,98,78,0.53,BR,1686134223
175,yanbu,24.0889,38.0667,40.04,31,0,4.63,SA,1686134224
176,villa regina,-39.0987,-67.0853,8.09,51,29,2.78,AR,1686134225
177,sombrerete,23.6354,-103.641,15.41,56,45,0.97,MX,1686134226
178,vilhena,-12.7369,-60.1466,18.0,64,91,1.36,BR,1686134226
179,kultali,22.0864,88.5941,34.28,51,40,9.0,IN,1686134227
180,rundu,-17.9137,19.7673,30.83,14,0,3.44,NA,1686134228
181,nova vicosa,-17.8908,-39.3725,24.13,65,0,3.1,BR,1686134229
182,bayanhongor,46.1937,100.7143,22.33,26,93,2.14,MN,1686134229
183,caleta de carquin,-11.0918,-77.6283,20.81,84,83,2.73,PE,1686134230
184,gemena,3.2549,19.7751,34.01,39,92,1.18,CD,1686134231
185,sinop,42.0266,35.1512,20.96,78,0,4.12,TR,1686134231
186,port mathurin,-19.6808,63.4221,24.88,71,11,7.98,MU,1686134232
187,howard springs,-12.497,131.047,27.95,66,84,1.2,AU,1686134233
188,bayeux,49.2765,-0.7025,18.14,76,5,6.42,FR,1686134233
189,holualoa,19.6238,-155.9536,20.85,87,38,2.24,US,1686134234
190,vilyuchinsk,52.9323,158.4058,8.17,86,72,0.79,RU,1686133700
191,hamilton,43.2557,-79.8732,14.84,57,20,7.2,CA,1686133723
192,aasiaat,68.7096,-52.8513,-0.76,81,97,5.79,GL,1686134236
193,laguna,-28.4837,-48.7817,15.56,78,6,2.01,BR,1686134237
194,solnechnyy,50.7238,136.6401,12.62,92,67,1.03,RU,1686134238
195,poronaysk,49.2216,143.1016,8.57,93,48,1.44,RU,1686134238
196,labuan bajo,-8.4944,119.8856,25.23,78,44,1.29,ID,1686134239
197,renqiu,38.7064,116.1062,30.21,26,81,4.71,CN,1686134239
198,taroa,12.43,-71.5763,27.73,84,100,9.16,CO,1686134240
199,guerrero negro,27.971,-114.0364,14.33,84,76,5.36,MX,1686134241
200,yangor,-0.5381,166.9115,28.79,77,85,5.53,NR,1686134241
201,sao gabriel da cachoeira,-0.125,-67.0814,22.17,99,69,0.47,BR,1686134242
202,ribeira brava,32.6701,-17.065,22.25,95,61,6.17,PT,1686134243
203,chonchi,-42.624,-73.7724,6.95,94,100,2.39,CL,1686134243
204,nikolayevsk-on-amure,53.1387,140.7249,11.34,80,8,2.06,RU,1686134244
205,ponta delgada,37.7394,-25.6684,17.4,82,20,11.83,PT,1686134244
206,alice springs,-23.698,133.8807,18.76,77,68,3.09,AU,1686133727
207,colonia,50.9384,6.96,23.86,63,75,3.09,DE,1686134217
208,ganye,8.4334,12.0672,26.32,74,100,1.47,NG,1686134246
209,afaahiti,-17.739,-149.29,23.51,67,93,7.53,PF,1686134247
210,port elizabeth,-33.9617,25.6208,23.06,33,0,2.57,ZA,1686134248
211,'ohonua,-21.3413,-174.9561,21.04,88,100,3.55,TO,1686134248
212,lembar,-8.7246,116.0904,27.34,85,22,4.47,ID,1686134249
213,stranraer,54.9044,-5.0262,12.27,82,70,1.29,GB,1686134250
214,pyriatyn,50.2361,32.5011,24.57,39,100,3.55,UA,1686134251
